,,,,,,,,,
Dates:,11/21/2009,2/3/2010,11/23/2009,,,,,,
,,,,,,,,,
Tasks:,,нач. оценка,уточненная оценка,сделано,осталось,исполнитель,время начала,время окончания,комментарий
A1,Сценарий нагрузочного тестирования,16,,0,16,,11/27/2009,12/1/2009,
A2,Скрипты нагрузочного тестирования,24,,0,24,,12/9/2009,12/14/2009,
R1,Обзорная статья,16,,0,16,,1/22/2010,1/26/2010,
C1,Интернационализация шаблонов,24,,0,24,,12/29/2009,1/1/2010,
C2,Анализ фреймворков,24,,0,24,,11/23/2009,11/26/2009,
C3,Функциональное тестирование,40,,0,40,,1/12/2010,1/19/2010,
R2,Написание руководства,40,,0,40,,12/15/2009,12/22/2009,
Q1,Исправление ошибок,80,,0,80,,1/12/2010,1/26/2010,
Q2,Выпуск релиза,8,,0,8,,2/2/2010,2/3/2010,
R3,Тестирование руководства,8,,0,8,,12/14/2009,12/15/2009,
S3,Недельный отпуск T ,40,,0,40,,1/4/2010,1/11/2010,
Left,Непредусмотренные работы ,40,,0,40,,1/4/2010,1/11/2010,
,,,,,,,,,
Constraints:,,,,,,,,,
A1 << A2,,,,,,,,,
R3 << R2,,,,,,,,,
fixrt(S3),,,,,,,,,
Q1 << Q2,,,,,,,,,
A2 <! Q1,,,,,,,,,
C3 <! Q1,,,,,,,,,
Left << Q2,,,,,,,,,
R3 << Q2,,,,,,,,,
C2 << Left,,,,,,,,,
,,,,,,,,,
Resources:,,,,,,,,,
D,,,,,,,,,
T,,,,,,,,,
,,,,,,,,,
Plan Format:,1.0,,,,,,,,
