,,,,,,,,,
"Dates:",11/21/2009,2/3/2010,11/23/2009,,,,,,
,,,,,,,,,
"Tasks:",,"нач. оценка","уточненная оценка","сделано","осталось","исполнитель","время начала","время окончания","комментарий"
"A1","Сценарий нагрузочного тестирования",16,,0,16,"T",,,
"A2","Скрипты нагрузочного тестирования",24,,0,24,"T",,,
"R1","Обзорная статья",16,,0,16,"D",,,
"C1","Интернационализация шаблонов",24,,0,24,"D",,,
"C2","Анализ фреймворков",24,,0,24,,,,
"C3","Функциональное тестирование",40,,0,40,,,,
"R2","Написание руководства",40,,0,40,,,,
"Q1","Исправление ошибок",40,,0,40,,,,
"Q2","Выпуск релиза",8,,0,8,,,,
"R3","Тестирование руководства",8,,0,8,,,,
"S3","Недельный отпуск T ",40,,0,40,"T",1/4/2010,1/11/2010,
"Left","Непредусмотренные работы ",40,,0,40,,,,
,,,,,,,,,
"Итого",,360,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Constraints:",,,,,,,,,
"A1 << A2",,,,,,,,,
"R3 << R2",,,,,,,,,
"fixrt(S3)",,,,,,,,,
"Q1 << Q2",,,,,,,,,
"A2 <! Q1",,,,,,,,,
"C3 <! Q1",,,,,,,,,
"Left << Q2",,,,,,,,,
"R3 << Q2",,,,,,,,,
"C2 << Left",,,,,,,,,
"hl(11/26/2009,1/1/2010)"
,,,,,,,,,
"Resources:",,,,,,,,,
"D",,,,,,,,,
"T",,,,,,,,,
,,,,,,,,,
"Plan Format:","1.0",,,,,,,,
